date,event_count,supply,withdraw,borrow,repay,liquidation,reserve_count
2026-05-18,5514,1969,1900,852,781,12,37
2026-05-19,4572,1680,1715,606,513,58,31
2026-05-20,4401,1611,1590,639,561,0,32
2026-05-21,3748,1302,1242,659,529,16,35
2026-05-22,3986,1381,1411,608,571,15,35
2026-05-23,4350,1542,1442,618,713,35,32
2026-05-24,2726,984,878,488,375,1,33
2026-05-25,3383,1156,1141,619,467,0,32
2026-05-26,3844,1294,1339,648,557,6,40
2026-05-27,5544,1826,1606,1248,852,12,33
2026-05-28,5287,1756,1744,897,832,58,36
2026-05-29,4333,1473,1631,677,544,8,37
2026-05-30,2959,1143,1055,445,311,5,35
2026-05-31,3069,1087,1156,446,366,14,35
2026-06-01,4604,1620,1528,750,674,32,35
2026-06-02,7659,2514,2460,1110,1409,166,39
2026-06-03,7574,2534,2354,1153,1418,115,37
2026-06-04,8885,2982,2701,1311,1639,252,40
2026-06-05,14030,4687,3769,1575,2885,1114,41
2026-06-06,6339,2235,1879,877,1146,202,36
2026-06-07,4698,1696,1400,904,684,14,34
2026-06-08,4887,1701,1506,980,698,2,41
2026-06-09,4625,1612,1449,865,694,5,31
2026-06-10,4575,1675,1415,824,649,12,36
2026-06-11,3907,1479,1209,691,524,4,33
2026-06-12,3521,1401,1053,622,441,4,31
2026-06-13,2774,1057,854,511,351,1,32
2026-06-14,2974,1122,916,534,397,5,35
2026-06-15,5698,1899,1783,1161,852,3,34
2026-06-16,3932,1364,1223,772,565,8,35
2026-06-17,3946,1327,1298,782,533,6,33
2026-06-18,4967,1650,1536,963,809,9,32
2026-06-19,3858,1417,1320,609,508,4,30
2026-06-20,2911,1032,950,531,397,1,29
2026-06-21,3024,1012,1081,521,408,2,31
2026-06-22,4020,1232,1296,835,648,9,31
2026-06-23,4260,1438,1368,807,641,6,33
2026-06-24,6528,2241,1980,1107,1150,50,34
2026-06-25,6320,2317,1844,1152,951,56,39
2026-06-26,5529,2071,1602,930,897,29,41
2026-06-27,3303,1270,1015,566,450,2,36
2026-06-28,3323,1189,1035,575,507,17,32
2026-06-29,4414,1600,1329,826,603,56,34
2026-06-30,5399,2043,1604,965,776,11,34
2026-07-01,5392,2231,1521,872,747,21,33
2026-07-02,5218,1868,1642,960,747,1,32
2026-07-03,4454,1513,1410,872,659,0,33
2026-07-04,3218,1131,1040,601,446,0,31
2026-07-05,2814,1055,903,515,341,0,31
2026-07-06,4180,1433,1293,844,610,0,29
2026-07-07,3696,1278,1197,709,511,1,36
2026-07-08,4095,1396,1196,860,638,5,35
2026-07-09,4057,1422,1173,852,610,0,31
2026-07-10,4164,1397,1277,823,667,0,32
2026-07-11,3168,1102,1065,599,400,2,36
2026-07-12,3802,1412,1379,559,451,1,33
2026-07-13,4439,1442,1342,906,746,3,29
2026-07-14,4366,1390,1287,983,701,5,35
2026-07-15,4619,1538,1399,1009,670,3,34
2026-07-16,4045,1409,1284,793,556,3,34
2026-07-17,3961,1341,1247,768,603,2,35
2026-07-18,3088,1176,920,605,387,0,30
2026-07-19,2690,890,905,486,407,2,28
2026-07-20,3630,1267,1212,682,467,2,32
2026-07-21,5332,2007,1597,1019,707,2,36
2026-07-22,3678,1310,1200,651,516,1,33
2026-07-23,4002,1548,1205,726,523,0,38
2026-07-24,3476,1315,1047,667,443,4,36
2026-07-25,2429,896,766,442,324,1,30
2026-07-26,2860,1023,892,543,400,2,32
2026-07-27,4247,1445,1409,793,600,0,35
2026-07-28,3725,1280,1200,732,511,2,35
2026-07-29,3457,1173,1149,677,457,1,32
2026-07-30,3497,1218,1188,609,481,1,34
2026-07-31,4172,1463,1399,733,577,0,33
2026-08-01,3550,1401,1169,539,434,7,36
2026-08-02,3272,1185,1094,522,470,1,31
2026-08-03,3641,1283,1224,627,506,1,31
2026-08-04,3613,1312,1175,637,489,0,29
2026-08-05,3903,1385,1350,664,502,2,35
2026-08-06,3547,1308,1153,626,459,1,28
2026-08-07,3589,1320,1210,622,437,0,33
2026-08-08,3187,1129,1099,531,428,0,29
2026-08-09,3075,1095,1015,565,399,1,32
2026-08-10,4009,1374,1292,803,536,4,33
2026-08-11,4222,1417,1482,775,547,1,35
2026-08-12,4053,1393,1425,710,522,3,31
2026-08-13,3864,1325,1342,668,529,0,33
2026-08-14,3979,1403,1374,670,530,2,31
2026-08-15,3075,1019,1114,508,429,5,34
2026-08-16,3196,1043,1218,514,420,1,30
2026-08-17,4129,1389,1444,729,565,2,31
2026-08-18,3692,1209,1279,674,527,3,30
2026-08-19,6941,2118,2290,1380,1121,32,33
2026-08-20,8391,2622,2768,1621,1371,9,35
2026-08-21,8594,2654,2770,1774,1376,20,37
